Dataset,k,F1,AUC,AUPRC,MINPSE,SIL,F1_STD,AUC_STD,AUPRC_STD,MINPSE_STD,SIL_STD
aki_new,1,0.510,0.555,0.550,0.428,0.000,0.091,0.054,0.048,0.214,0.000
aki_new,2,0.489,0.525,0.523,0.441,0.570,0.086,0.060,0.044,0.130,0.134
aki_new,3,0.558,0.585,0.577,0.538,0.327,0.024,0.027,0.029,0.015,0.063
aki_new,4,0.541,0.552,0.550,0.521,0.172,0.013,0.029,0.023,0.014,0.073
aki_new,5,0.482,0.547,0.550,0.427,0.152,0.086,0.027,0.025,0.135,0.165
aki_new,6,0.553,0.574,0.572,0.532,0.124,0.022,0.027,0.019,0.043,0.113
aki_new,7,0.543,0.556,0.557,0.515,0.172,0.018,0.025,0.029,0.040,0.092
aki_new,8,0.471,0.543,0.537,0.530,0.035,0.109,0.037,0.031,0.027,0.057
aki_new,10,0.513,0.558,0.551,0.429,0.042,0.090,0.033,0.031,0.215,0.067

ards_new,1,0.515,0.659,0.590,0.168,0.000,0.092,0.135,0.067,0.208,0.000
ards_new,2,0.536,0.728,0.644,0.327,0.536,0.084,0.119,0.075,0.186,0.119
ards_new,3,0.506,0.600,0.559,0.197,0.399,0.047,0.183,0.090,0.130,0.101
ards_new,4,0.480,0.663,0.615,0.414,0.167,0.141,0.188,0.105,0.098,0.036
ards_new,5,0.508,0.658,0.580,0.264,0.195,0.024,0.150,0.086,0.140,0.113
ards_new,6,0.330,0.661,0.614,0.229,0.118,0.167,0.260,0.136,0.138,0.144
ards_new,7,0.359,0.507,0.510,0.219,0.252,0.116,0.138,0.038,0.176,0.064
ards_new,8,0.365,0.453,0.485,0.147,0.094,0.137,0.092,0.027,0.070,0.122
ards_new,10,0.356,0.508,0.519,0.230,0.036,0.141,0.170,0.085,0.097,0.057

cic_new,1,0.463,0.564,0.539,0.025,0.000,0.002,0.112,0.047,0.034,0.000
cic_new,2,0.460,0.632,0.567,0.351,0.655,0.067,0.084,0.043,0.127,0.082
cic_new,3,0.510,0.714,0.623,0.305,0.218,0.075,0.038,0.033,0.099,0.052
cic_new,4,0.418,0.692,0.606,0.369,0.162,0.106,0.107,0.058,0.199,0.062
cic_new,5,0.454,0.591,0.563,0.205,0.102,0.041,0.162,0.078,0.177,0.040
cic_new,6,0.468,0.714,0.614,0.257,0.060,0.006,0.030,0.025,0.216,0.025
cic_new,7,0.483,0.690,0.601,0.209,0.045,0.021,0.091,0.059,0.148,0.026
cic_new,8,0.394,0.658,0.579,0.117,0.020,0.137,0.103,0.052,0.146,0.023
cic_new,10,0.465,0.703,0.608,0.185,0.001,0.004,0.043,0.034,0.228,0.065

cic_los_new,1,0.268,0.545,0.373,0.186,0.000,0.095,0.054,0.048,0.175,0.000
cic_los_new,2,0.367,0.591,0.414,0.359,0.438,0.025,0.047,0.038,0.072,0.108
cic_los_new,3,0.341,0.580,0.406,0.338,0.185,0.048,0.060,0.054,0.083,0.023
cic_los_new,4,0.291,0.552,0.379,0.219,0.094,0.065,0.044,0.040,0.124,0.027
cic_los_new,5,0.308,0.579,0.404,0.302,0.058,0.072,0.052,0.046,0.072,0.022
cic_los_new,6,0.305,0.559,0.384,0.252,0.046,0.060,0.047,0.041,0.105,0.035
cic_los_new,7,0.278,0.558,0.385,0.295,0.056,0.080,0.057,0.048,0.132,0.029
cic_los_new,8,0.270,0.546,0.371,0.277,0.042,0.095,0.031,0.028,0.150,0.029
cic_los_new,10,0.302,0.554,0.375,0.255,00.012,0.065,0.017,0.015,0.116,0.051