dataset,k,KM,KM_std,DCN,DCN_std,IDEC,IDEC_std,DMNN,DMNN_std,ACTPC,ACTPC_std,DICE,DICE_std,EN,EN_std
ards, 2, 0.577,0.066,0.726,0.04,0.707,0.041,0.755,0.014,0,0,0.715,0.013,0.785,0.015
ards, 3, 0.524,0.081,0.681,0.061,0.658,0.083,0.76,0.011,0.638,0.009,0.732,0.012,0.766,0.034
ards, 4, 0.554,0.07,0.692,0.05,0.656,0.057,0.747,0.014,0.606,0.04,0.736,0.01,0.772,0.02
ards, 5, 0.489,0.066,0.646,0.081,0.658,0.068,0.746,0.02,0.626,0.037,0.691,0.02,0.784,0.013
sepsis, 2, 0.576,0.048,0.713,0.128,0.784,0.057,0.824,0.011,0,0,0.77,0.015,0.861,0.017
sepsis, 3, 0.614,0.048,0.728,0.081,0.768,0.079,0.818,0.02,0.718,0.043,0.731,0.04,0.854,0.023
sepsis, 4, 0.546,0.071,0.719,0.045,0.768,0.035,0.83,0.011,0.689,0.071,0.8,0.03,0.853,0.017
sepsis, 5, 0.566,0.058,0.719,0.061,0.74,0.047,0.821,0.016,0.706,0.053,0.78,0.061,0.847,0.019