Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,HTFD,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,HTFD_std
cic,1,0.502,0.751,0.650,nan,0.500,0.000,1.802,0.078,0.049,0.039,nan,0.000,0.000,0.000
cic,2,0.474,0.700,0.609,0.331,0.500,0.549,0.862,0.012,0.054,0.036,0.115,0.000,0.194,0.452
cic,3,0.482,0.705,0.612,0.353,0.500,0.228,0.762,0.011,0.033,0.017,0.067,0.000,0.102,0.385
cic,4,0.469,0.681,0.594,nan,0.500,0.133,0.656,0.004,0.043,0.025,nan,0.000,0.076,0.371
diabetes,1,0.382,0.571,0.558,0.288,0.500,0.000,1.802,0.015,0.004,0.004,0.110,0.000,0.000,0.000
diabetes,2,0.408,0.571,0.556,0.277,0.500,0.132,1.233,0.033,0.004,0.002,0.051,0.000,0.075,0.361
diabetes,3,0.389,0.569,0.556,0.230,0.500,0.090,1.510,0.019,0.003,0.003,0.033,0.000,0.025,0.129
diabetes,4,0.379,0.569,0.556,0.286,0.500,0.059,1.642,0.011,0.003,0.003,0.112,0.000,0.019,0.064
cic_los,1,0.382,0.628,0.440,nan,0.416,0.000,1.802,0.025,0.006,0.006,nan,0.019,0.000,0.000
cic_los,2,0.382,0.625,0.440,0.428,0.402,0.592,0.737,0.019,0.017,0.020,0.069,0.012,0.230,0.379
cic_los,3,0.362,0.611,0.425,0.384,0.438,0.249,0.893,0.029,0.022,0.022,0.074,0.039,0.084,0.127
cic_los,4,0.376,0.625,0.443,nan,0.411,0.163,0.842,0.040,0.025,0.025,nan,0.029,0.020,0.150
heart,1,0.668,0.726,0.732,0.657,0.500,0.000,1.802,0.124,0.135,0.120,0.107,0.000,0.000,0.000
heart,2,0.750,0.821,0.833,0.732,0.500,0.317,0.725,0.062,0.071,0.062,0.068,0.000,0.077,0.065
heart,3,0.770,0.850,0.855,0.765,0.500,0.225,0.534,0.081,0.082,0.072,0.075,0.000,0.097,0.045
heart,4,0.787,0.861,0.875,0.781,0.500,0.212,0.412,0.061,0.060,0.057,0.052,0.000,0.072,0.025
sepsis,1,0.510,0.647,0.569,nan,0.500,0.000,1.802,0.035,0.046,0.043,nan,0.000,0.000,0.000
sepsis,2,0.490,0.712,0.594,0.137,0.500,0.491,1.280,0.009,0.025,0.028,0.095,0.000,0.188,0.076
sepsis,3,0.542,0.723,0.611,nan,0.500,0.153,1.307,0.105,0.078,0.088,nan,0.000,0.084,0.072
sepsis,4,0.484,0.667,0.556,nan,0.500,0.075,1.020,0.004,0.045,0.024,nan,0.000,0.025,0.262
aki,1,0.622,0.649,0.629,0.616,0.500,0.000,1.802,0.008,0.009,0.010,0.008,0.000,0.000,0.000
aki,2,0.612,0.643,0.623,0.609,0.500,0.501,0.979,0.017,0.021,0.022,0.017,0.000,0.188,0.371
aki,3,0.483,0.560,0.556,0.422,0.500,0.350,0.919,0.124,0.075,0.066,0.176,0.000,0.059,0.472
aki,4,0.553,0.590,0.579,0.515,0.500,0.176,0.949,0.089,0.048,0.040,0.128,0.000,0.134,0.090
ards,1,0.529,0.676,0.575,0.225,0.500,0.000,1.802,0.030,0.025,0.013,0.116,0.000,0.000,0.000
ards,2,0.505,0.678,0.586,nan,0.500,0.591,0.906,0.036,0.033,0.016,nan,0.000,0.154,0.366
ards,3,0.489,0.697,0.586,0.300,0.500,0.197,1.065,0.003,0.017,0.007,0.126,0.000,0.191,0.277
ards,4,0.505,0.685,0.584,0.307,0.500,0.259,1.013,0.024,0.018,0.016,0.055,0.000,0.132,0.094
wid_mortality,1,0.643,0.856,0.709,0.432,0.500,0.000,1.802,0.022,0.011,0.012,0.020,0.000,0.000,0.000
wid_mortality,2,0.650,0.843,0.710,0.449,0.500,0.328,1.055,0.042,0.044,0.029,0.026,0.000,0.207,0.440
wid_mortality,3,0.560,0.814,0.679,0.356,0.500,0.258,1.274,0.093,0.055,0.053,0.102,0.000,0.264,0.199
wid_mortality,4,0.556,0.795,0.664,0.336,0.500,0.239,0.948,0.063,0.059,0.048,0.121,0.000,0.134,0.479