Dataset,k,F1,AUC,AUPRC,MINPSE,ACC,SIL,NMI,ARI,F1_std,AUC_std,AUPRC_std,MINPSE_std,ACC_std,SIL_std,NMI_STD,ARI_STD
cic,2,0.705,0.797,0.740,0.516,0.500,0.340,0.104,0.126,0.014,0.010,0.015,0.027,0.000,0.027,0.017
cic,3,0.703,0.815,0.753,0.516,0.500,0.303,0.118,0.113,0.010,0.019,0.021,0.025,0.000,0.017,0.001
cic,4,0.612,0.759,0.687,0.314,0.500,0.311,0.118,0.074,0.107,0.024,0.026,0.222,0.000,0.042,0.076
sepsis,2,0.755,0.839,0.760,0.589,0.500,0.297,0.042,0.032,0.051,0.049,0.068,0.081,0.000,0.000,0.039
sepsis,3,0.584,0.715,0.661,0.207,0.500,0.252,0.008,-0.005,0.145,0.128,0.115,0.293,0.000,0.045,0.009
sepsis,4,0.482,0.620,0.535,0.087,0.500,0.369,0.011,-0.002,0.001,0.017,0.014,0.068,0.000,0.070,0.006
aki,2,0.623,0.673,0.657,0.609,0.500,0.597,0.058,0.071,0.002,0.001,0.003,0.007,0.000,0.277,0.043
aki,3,0.630,0.678,0.661,0.613,0.500,0.359,0.066,0.076,0.006,0.005,0.004,0.006,0.000,0.014,0.018
aki,4,0.634,0.679,0.665,0.622,0.500,0.328,0.065,0.065,0.005,0.007,0.007,0.013,0.000,0.030,0.004
ards,2,0.509,0.693,0.584,0.221,0.500,0.000,0.004,0.017,0.004,0.023,0.013,0.035,0.000,nan,0.003
ards,3,0.488,0.644,0.559,0.080,0.500,0.338,0.003,0.002,0.010,0.046,0.028,0.113,0.000,0.000,0.004
ards,4,0.486,0.570,0.538,0.109,0.500,0.386,0.002,0.000,0.008,0.038,0.022,0.154,0.000,0.068,0.002
diabetes,2,0.475,0.576,0.563,0.327,0.500,0.425,0.002,-0.004,0.031,0.003,0.003,0.030,0.000,0.186,0.001
diabetes,3,0.451,0.570,0.558,0.304,0.500,0.294,0.003,-0.003,0.031,0.005,0.003,0.022,0.000,0.032,0.002
diabetes,4,0.467,0.571,0.560,0.322,0.500,0.240,0.002,-0.003,0.019,0.009,0.006,0.012,0.000,0.006,0.002
cic_los,2,0.453,0.664,0.483,0.464,0.351,0.275,0.098,0.118,0.007,0.008,0.009,0.005,0.005,0.011,0.013
cic_los,3,0.454,0.669,0.490,0.470,0.373,0.332,0.097,0.091,0.010,0.004,0.006,0.004,0.019,0.030,0.006
cic_los,4,0.454,0.661,0.486,0.466,0.362,0.330,0.099,0.085,0.006,0.003,0.004,0.007,0.003,0.003,0.007
heart,2,0.800,0.876,0.880,0.783,0.500,0.421,0.673,0.771,0.020,0.029,0.024,0.025,0.000,0.024,0.040
heart,3,0.782,0.856,0.860,0.766,0.500,0.402,0.544,0.585,0.023,0.046,0.046,0.022,0.000,0.061,0.126
heart,4,0.811,0.896,0.903,0.807,0.500,0.388,0.383,0.386,0.059,0.046,0.040,0.061,0.000,0.058,0.072
wid_mortality,2,0.691,0.854,0.731,0.470,0.500,0.522,0.037,0.001,0.005,0.008,0.008,0.007,0.000,0.276,0.026
wid_mortality,3,0.689,0.850,0.732,0.477,0.500,0.317,0.071,0.059,0.005,0.006,0.001,0.002,0.000,0.000,0.026
wid_mortality,4,0.630,0.830,0.691,0.419,0.500,0.402,0.005,0.010,0.035,0.011,0.018,0.031,0.000,0.000,0.002